Issuer Code,Negative,Neutral,Positive,Recommendation
ALK,57.14285714285714,0.0,42.857142857142854,Sell stocks
AMEH,0.0,0.0,100.0,Buy stocks
AMK,50.0,0.0,50.0,Hold
AUM,33.33333333333333,66.66666666666666,0.0,Sell stocks
CEVI,0.0,60.0,40.0,Buy stocks
DMK,0.0,100.0,0.0,Hold
FAKM,0.0,50.0,50.0,Buy stocks
FER,0.0,100.0,0.0,Hold
GECK,0.0,100.0,0.0,Hold
GECT,0.0,100.0,0.0,Hold
GRT,0.0,100.0,0.0,Hold
GTC,0.0,100.0,0.0,Hold
KONZ,0.0,100.0,0.0,Hold
KPS,50.0,0.0,50.0,Hold
LOZP,0.0,0.0,100.0,Buy stocks
MAK,0.0,100.0,0.0,Hold
MAKP,0.0,100.0,0.0,Hold
MSL,0.0,100.0,0.0,Hold
MZH,0.0,100.0,0.0,Hold
NEM,0.0,100.0,0.0,Hold
NOSK,50.0,50.0,0.0,Sell stocks
OILKO,0.0,100.0,0.0,Hold
PKB,0.0,60.0,40.0,Buy stocks
PPP,0.0,0.0,100.0,Buy stocks
RDK,0.0,33.33333333333333,66.66666666666666,Buy stocks
REP,0.0,100.0,0.0,Hold
RZIT,0.0,0.0,100.0,Buy stocks
SDOM,0.0,0.0,100.0,Buy stocks
SIL,0.0,100.0,0.0,Hold
SILB,25.0,25.0,50.0,Buy stocks
SNBT,0.0,75.0,25.0,Buy stocks
TEHN,0.0,0.0,100.0,Buy stocks
TETE,40.0,60.0,0.0,Sell stocks
TKVS,0.0,100.0,0.0,Hold
TNB,0.0,100.0,0.0,Hold
TTK,0.0,40.0,60.0,Buy stocks
TUM,85.0,15.0,0.0,Sell stocks
TUT,33.33333333333333,33.33333333333333,33.33333333333333,Hold
USJ,0.0,100.0,0.0,Hold
VROS,0.0,0.0,100.0,Buy stocks
ZKP,0.0,100.0,0.0,Hold
ZPOG,0.0,66.66666666666666,33.33333333333333,Buy stocks
